Boro-Block-Lot,Address,Neighborhood,Building Classification,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Estimated Expense,Net Operating Income,Full Market Value,Report Year
1-00007-7501,1 COENTIES SLIP,FINANCIAL,R9-CONDOMINIUM,42,1920,36500,1216180,293460,922720,7156000,2012
1-00008-7501,39 WHITEHALL STREET,FINANCIAL,R4-CONDOMINIUM,78,1985,126420,6823366,1638934,5184432,39143000,2012
1-00015-7501,17 BATTERY PLACE,FINANCIAL,RR-CONDOMINIUM,500,,554174,16609710,3668467,12941243,93405000,2012
1-00015-7502,20 WEST STREET,FINANCIAL,R4-CONDOMINIUM,282,1930,249076,8946810,2744818,6201992,46825007,2012
1-00016-7501,377 RECTOR PLACE,TRIBECA,R4-CONDOMINIUM,239,1985,219495,7072129,1169908,5902221,44562006,2012
1-00016-7502,320 ALBANY STREET,TRIBECA,R4-CONDOMINIUM,133,1986,139719,5859815,1664053,4195762,31677997,2012
1-00016-7503,250 SOUTH END AVENUE,TRIBECA,R4-CONDOMINIUM,109,1985,105000,4471950,1131900,3340050,19435362,2012
1-00016-7504,300 ALBANY STREET,TRIBECA,R4-CONDOMINIUM,107,1986,87479,3668869,1041875,2626994,19833999,2012
1-00016-7505,380 RECTOR PLACE,TRIBECA,R4-CONDOMINIUM,247,1987,255845,9801422,2499606,7301816,55129007,2012
1-00016-7506,280 RECTOR PLACE,TRIBECA,R4-CONDOMINIUM,121,1985,106129,4451050,1263996,3187054,24062007,2012
1-00016-7507,300 RECTOR PLACE,TRIBECA,R4-CONDOMINIUM,154,1986,126008,5284776,1500755,3784021,28569001,2012
1-00016-7508,200 RECTOR PLACE,TRIBECA,R4-CONDOMINIUM,546,1987,586224,20136794,5229118,14907676,112553026,2012
1-00016-7509,21 SOUTH END AVENUE,TRIBECA,R4-CONDOMINIUM,182,1988,208281,8122959,2239021,5883938,44424000,2012
1-00016-7510,99 BATTERY PLACE,TRIBECA,R4-CONDOMINIUM,293,1988,341489,14014709,4166166,9848543,74356990,2012
1-00016-7511,2 SOUTH END AVENUE,TRIBECA,R4-CONDOMINIUM,163,1990,156260,6347281,1521972,4825309,36430997,2012
1-00016-7513,25 BATTERY PLACE,TRIBECA,R4-CONDOMINIUM,117,2003,267723,11798553,3185904,8612649,65025999,2012
1-00016-7514,30 WEST STREET,TRIBECA,R4-CONDOMINIUM,234,2006,431824,16582042,4478015,12104027,91386007,2012
1-00016-7515,225 RECTOR PLACE,TRIBECA,R4-CONDOMINIUM,304,1985,257848,11363361,3068391,8294970,62626989,2012
1-00016-7516,1 RIVER TERRACE,TRIBECA,R4-CONDOMINIUM,256,2006,434398,18548795,5056393,13492402,101868002,2012
1-00016-7517,70 BATTERY PLACE,TRIBECA,R4-CONDOMINIUM,249,2006,438177,16825997,4543895,12282102,92729993,2012
1-00016-7518,333 RECTOR PLACE,TRIBECA,R4-CONDOMINIUM,174,1985,237725,9447192,2688670,6758522,51026997,2012
1-00017-7502,33 RECTOR STREET,FINANCIAL,R4-CONDOMINIUM,13,1920,37236,1510665,252088,1258577,9502001,2012
1-00018-7501,13 RECTOR STREET,FINANCIAL,R4-CONDOMINIUM,452,1956,316810,13787571,4467021,9320550,70370007,2012
1-00024-7501,40 BROAD STREET,FINANCIAL,R4-CONDOMINIUM,162,1982,231300,9462483,1804140,7658343,57820986,2012
1-00025-7501,15 WILLIAM STREET,FINANCIAL,R4-CONDOMINIUM,320,2005,477747,19606737,5828513,13778224,104026043,2012
1-00026-7501,15 BROAD STREET,FINANCIAL,R4-CONDOMINIUM,382,1914,648926,28721465,6995422,21726043,164031994,2012
1-00027-7501,55 WALL STREET,FINANCIAL,R4-CONDOMINIUM,107,1836,159544,7039081,1987918,5051163,38135998,2012
1-00027-7502,20 EXCHANGE PLACE,FINANCIAL,RR-CONDOMINIUM,350,1929,346789,13890120,3648220,10241900,80272000,2012
1-00028-7501,82 BEAVER STREET,FINANCIAL,R4-CONDOMINIUM,126,1987,96902,3431300,1110497,2320803,17522000,2012
1-00029-7501,48 BEAVER STREET,FINANCIAL,R9-CONDOMINIUM,40,1920,65396,1528305,529708,998597,7230300,2012
1-00029-7503,21 SOUTH WILLIAM STREET,FINANCIAL,R4-CONDOMINIUM,31,1900,20308,733322,205517,527805,3985002,2012
1-00031-7501,75 WALL STREET,FINANCIAL,R4-CONDOMINIUM,347,1987,422833,15940804,4287527,11653277,87981999,2012
1-00039-7501,164 PEARL STREET,FINANCIAL,R4-CONDOMINIUM,121,1956,109468,4627212,1242462,3384750,25555006,2012
1-00041-7501,50 PINE STREET,FINANCIAL,R4-CONDOMINIUM,20,1902,39607,1365253,271704,1093549,8256000,2012
1-00041-7503,56 PINE STREET,FINANCIAL,R4-CONDOMINIUM,90,1893,73507,2546282,640981,1905301,14384997,2012
1-00044-7501,18 PINE STREET,FINANCIAL,R4-CONDOMINIUM,408,1928,548976,25466997,7125708,18341289,138477008,2012
1-00052-7501,112 LIBERTY STREET,FINANCIAL,RR-CONDOMINIUM,13,1900,21069,592882,204791,388091,2062500,2012
1-00052-7502,114 LIBERTY STREET,FINANCIAL,R4-CONDOMINIUM,12,1913,65992,1589747,465904,1123843,7670350,2012
1-00053-7501,120 GREENWICH STREET,FINANCIAL,R4-CONDOMINIUM,102,1903,71985,3019051,857341,2161710,16321001,2012
1-00053-7502,123 WASHINGTON STREET,FINANCIAL,R4-CONDOMINIUM,160,2007,215467,5927497,1443629,4483868,30737262,2012
1-00065-7501,65 NASSAU STREET,FINANCIAL,R9-CONDOMINIUM,29,1920,28550,984119,195853,788266,6125000,2012
1-00068-7501,80 JOHN STREET,FINANCIAL,R4-CONDOMINIUM,145,1927,186512,7016581,2215763,4800818,36245999,2012
1-00068-7502,90 WILLIAM STREET,FINANCIAL,R4-CONDOMINIUM,113,1967,112213,4779152,1209656,3569496,26950012,2012
1-00069-7502,90 JOHN STREET,FINANCIAL,RR-CONDOMINIUM,221,1931,214364,5897154,1436239,4460915,34461000,2012
1-00072-7501,170 JOHN STREET,FINANCIAL,R4-CONDOMINIUM,14,1982,24362,936475,281381,655094,4946000,2012
1-00076-7502,99 JOHN STREET,FINANCIAL,R4-CONDOMINIUM,441,2003,348157,14288363,4247515,10040848,75808993,2012
1-00078-7503,80 NASSAU STREET,FINANCIAL,R9-CONDOMINIUM,11,1900,31738,1026724,239622,787102,6089000,2012
1-00078-7505,39 JOHN STREET,FINANCIAL,R9-CONDOMINIUM,14,1930,17122,818134,124135,693999,5450000,2012
1-00078-7506,102 FULTON STREET,FINANCIAL,R4-CONDOMINIUM,14,1910,22613,708013,187462,520551,3930000,2012
1-00078-7507,111 WILLIAM STREET,FINANCIAL,R4-CONDOMINIUM,73,1909,89994,3480968,1052030,2428938,18338995,2012
1-00078-7510,110 FULTON STREET,FINANCIAL,R4-CONDOMINIUM,29,1929,24500,792575,184975,607600,3457500,2012
1-00079-7502,130 FULTON STREET,FINANCIAL,R4-CONDOMINIUM,21,1900,66930,2318455,583630,1734825,13097998,2012
1-00079-7503,71 NASSAU STREET,FINANCIAL,R4-CONDOMINIUM,67,1906,66575,2357421,762950,1594471,12037994,2012
1-00090-7501,15 PARK ROW,SOUTHBRIDGE,R4-CONDOMINIUM,210,1896,196837,6157061,1970338,4186723,31610000,2012
1-00090-7502,105 NASSAU STREET,SOUTHBRIDGE,R4-CONDOMINIUM,9,1923,20883,671806,192332,479474,3619999,2012
1-00091-7501,119 FULTON STREET,SOUTHBRIDGE,R4-CONDOMINIUM,19,1919,26528,808043,214081,593962,3962002,2012
1-00091-7502,111 FULTON STREET,SOUTHBRIDGE,R4-CONDOMINIUM,163,1940,191740,5999545,1777430,4222115,31876999,2012
1-00095-7501,117 BEEKMAN STREET,SOUTHBRIDGE,R4-CONDOMINIUM,22,1983,37170,1195759,342336,853423,6443000,2012
1-00097-7502,130 BEEKMAN STREET,SOUTHBRIDGE,R4-CONDOMINIUM,18,1900,23044,769209,261549,507660,3801602,2012
1-00097-7503,220 FRONT STREET,SOUTHBRIDGE,R4-CONDOMINIUM,15,1910,25825,830790,237848,592942,4477000,2012
1-00097-7504,214 FRONT STREET,SOUTHBRIDGE,R4-CONDOMINIUM,15,1999,20091,748591,216983,531608,4014000,2012
1-00100-7501,150 NASSAU STREET,SOUTHBRIDGE,R4-CONDOMINIUM,125,1900,168889,5284537,1565601,3718936,28077999,2012
1-00100-7502,8 SPRUCE STREET,SOUTHBRIDGE,RR-CONDOMINIUM,904,2007,900526,26277349,8933218,17344131,132844000,2012
1-00106-7502,324 PEARL STREET,SOUTHBRIDGE,R4-CONDOMINIUM,49,1900,37646,1059358,365919,693439,5235000,2012
1-00132-7501,295 GREENWICH STREET,TRIBECA,R4-CONDOMINIUM,128,1987,115909,4239951,1168363,3071588,23191006,2012
1-00132-7501,275 GREENWICH STREET,TRIBECA,R4-CONDOMINIUM,133,1987,138016,5130055,1530597,3599458,27175997,2012
1-00132-7503,71 MURRAY STREET,TRIBECA,R4-CONDOMINIUM,11,2001,54500,2453590,741200,1712390,12929000,2012
1-00133-7504,37 MURRAY STREET,CIVIC CENTER,R4-CONDOMINIUM,8,1969,17000,506430,176460,329970,2214293,2012
1-00133-7506,49 WARREN STREET,CIVIC CENTER,R4-CONDOMINIUM,10,1900,22964,738293,214024,524269,3958001,2012
1-00134-7503,9 MURRAY STREET,CIVIC CENTER,R4-CONDOMINIUM,27,1900,59853,1546003,587158,958845,7239001,2012
1-00134-7505,25 MURRAY STREET,CIVIC CENTER,R4-CONDOMINIUM,75,1930,118046,5444282,1564110,3880172,29295005,2012
1-00135-7501,261 BROADWAY,CIVIC CENTER,R9-CONDOMINIUM,65,1906,101974,3647610,1297109,2350501,18312000,2012
1-00135-7503,8 WARREN STREET,CIVIC CENTER,R4-CONDOMINIUM,14,1860,32039,1235424,286749,948675,7163001,2012
1-00135-7504,270 BROADWAY,CIVIC CENTER,R4-CONDOMINIUM,87,1910,217318,5834988,1623365,4211623,31798002,2012
1-00136-7502,38 WARREN STREET,CIVIC CENTER,R4-CONDOMINIUM,26,1900,50165,1613808,462020,1151788,8695999,2012
1-00136-7505,85 WEST BROADWAY,CIVIC CENTER,R4-CONDOMINIUM,15,2007,15060,582822,168973,413849,3125003,2012
1-00137-7503,92 WARREN STREET,TRIBECA,R4-CONDOMINIUM,12,1920,30062,1026317,290700,735617,5553998,2012
1-00140-7501,165 CHAMBERS STREET,TRIBECA,R4-CONDOMINIUM,83,1987,89377,4175693,1127044,3048649,23017003,2012
1-00140-7502,311 GREENWICH STREET,TRIBECA,R4-CONDOMINIUM,80,1988,66551,2728591,541725,2186866,16510998,2012
1-00140-7503,137 READE STREET,TRIBECA,R4-CONDOMINIUM,10,1930,28000,900760,257880,642880,4854003,2012
1-00140-7505,157 CHAMBERS STREET,TRIBECA,R4-CONDOMINIUM,38,1931,87334,3153631,883820,2269811,17137001,2012
1-00141-7502,184 DUANE STREET,TRIBECA,R4-CONDOMINIUM,1,1915,2660,93366,30989,62377,471000,2012
1-00141-7504,166 DUANE STREET,TRIBECA,R4-CONDOMINIUM,30,1910,92487,3274965,1059901,2215064,16724000,2012
1-00142-7501,99 WARREN STREET,TRIBECA,RR-CONDOMINIUM,163,2006,182235,6165010,1230086,4934924,38312000,2012
1-00142-7501,99 WARREN STREET,TRIBECA,R4-CONDOMINIUM,220,2006,535060,25468856,6682899,18785957,141833999,2012
1-00142-7502,200 CHAMBERS STREET,TRIBECA,R4-CONDOMINIUM,311,2005,314373,13958161,3964244,9993917,75454001,2012
1-00143-7501,8 JAY STREET,TRIBECA,R9-CONDOMINIUM,13,1915,19882,521505,204387,317118,2400000,2012
1-00143-7502,177 DUANE STREET,TRIBECA,R9-CONDOMINIUM,11,1920,15500,649915,191270,458645,3599000,2012
1-00144-7502,36 HUDSON STREET,TRIBECA,R4-CONDOMINIUM,12,1910,27928,953462,270064,683398,5033605,2012
1-00145-7501,105 CHAMBERS STREET,CIVIC CENTER,R4-CONDOMINIUM,2,1915,12688,473009,137538,335471,2533000,2012
1-00145-7504,97 READE STREET,CIVIC CENTER,R4-CONDOMINIUM,20,1920,24992,815489,228927,586562,4428998,2012
1-00146-7501,96 READE STREET,CIVIC CENTER,R4-CONDOMINIUM,21,1895,32300,1102722,312341,790381,5966998,2012
1-00146-7502,150 DUANE STREET,CIVIC CENTER,R9-CONDOMINIUM,13,1915,20500,669325,160515,508810,3939000,2012
1-00146-7503,104 READE STREET,CIVIC CENTER,R4-CONDOMINIUM,9,1920,20325,663611,159145,504466,3809000,2012
1-00147-7508,52 THOMAS STREET,CIVIC CENTER,R4-CONDOMINIUM,20,1915,35900,1225626,353256,872370,6586003,2012
1-00147-7509,137 DUANE STREET,CIVIC CENTER,R4-CONDOMINIUM,19,1915,45510,1464057,419147,1044910,7888999,2012
1-00150-7501,70 READE STREET,CIVIC CENTER,R4-CONDOMINIUM,8,1915,26658,857588,245520,612068,4071102,2012
1-00171-7501,356 BROADWAY,CHINATOWN,R4-CONDOMINIUM,18,1915,20000,643400,184200,459200,3110001,2012
1-00171-7502,354 BROADWAY,CHINATOWN,R4-CONDOMINIUM,12,1900,41204,1392283,426049,966234,7295000,2012
1-00172-7501,374 BROADWAY,CHINATOWN,R4-CONDOMINIUM,163,1990,126500,4094805,1392765,2702040,19619620,2012
1-00172-7502,81 WHITE STREET,CHINATOWN,R4-CONDOMINIUM,11,1915,28500,916845,262485,654360,4939998,2012
1-00172-7504,50 FRANKLIN STREET,CHINATOWN,R4-CONDOMINIUM,72,2007,91412,3863985,1037526,2826459,21339990,2012
1-00173-7501,66 LEONARD STREET,CIVIC CENTER,R4-CONDOMINIUM,47,1900,132423,4849330,1402360,3446970,26025002,2012
1-00173-7502,65 WORTH STREET,CIVIC CENTER,R4-CONDOMINIUM,30,1920,89678,2884941,825934,2059007,15546000,2012
1-00173-7503,79 WORTH STREET,CIVIC CENTER,R4-CONDOMINIUM,29,1920,56292,1810914,518449,1292465,9758001,2012
1-00175-7503,55 WHITE STREET,CIVIC CENTER,R4-CONDOMINIUM,17,1860,32939,1058330,310285,748045,5647998,2012
1-00175-7504,90 FRANKLIN STREET,CIVIC CENTER,R4-CONDOMINIUM,24,1915,98891,3570954,1000777,2570177,19405003,2012
1-00178-7502,211 WEST BROADWAY,CIVIC CENTER,R2-CONDOMINIUM,11,1915,24985,691085,291825,399260,3013999,2012
1-00179-7503,155 FRANKLIN STREET,TRIBECA,R4-CONDOMINIUM,10,1982,33633,999573,340030,659543,4979999,2012
1-00179-7506,14 LEONARD STREET,TRIBECA,R4-CONDOMINIUM,31,1915,88615,3137857,1015528,2122329,15951005,2012
1-00180-7502,67 HUDSON STREET,TRIBECA,R4-CONDOMINIUM,20,1915,20750,671263,156663,514600,3885001,2012
1-00180-7507,345 GREENWICH STREET,TRIBECA,R4-CONDOMINIUM,10,1921,23287,601736,235664,366072,2764001,2012
1-00181-7501,355 GREENWICH STREET,TRIBECA,R2-CONDOMINIUM,10,1983,10962,348263,141739,206524,1559000,2012
1-00181-7502,363 GREENWICH STREET,TRIBECA,R4-CONDOMINIUM,9,1915,17788,620445,186062,434383,3151489,2012
1-00188-7501,65 NORTH MOORE STREET,TRIBECA,R4-CONDOMINIUM,8,1915,12690,368645,134514,234131,1768000,2012
1-00188-7502,387 GREENWICH STREET,TRIBECA,R4-CONDOMINIUM,36,1915,86451,3061230,990728,2070502,15632002,2012
1-00188-7503,53 NORTH MOORE STREET,TRIBECA,R4-CONDOMINIUM,46,1910,83020,2939738,951409,1988329,15012004,2012
1-00188-7505,48 BEACH STREET,TRIBECA,R4-CONDOMINIUM,25,1930,94532,2724412,1041743,1682669,12704005,2012
1-00189-7501,220 WEST BROADWAY,TRIBECA,R9-CONDOMINIUM,24,1915,52735,1571503,381801,1189702,8154000,2012
1-00189-7502,104 HUDSON STREET,TRIBECA,R4-CONDOMINIUM,14,1921,40581,1209314,293806,915508,6911998,2012
1-00189-7507,132 FRANKLIN STREET,TRIBECA,R4-CONDOMINIUM,13,1915,53468,1304619,334710,969909,7264999,2012
1-00189-7508,38 NORTH MOORE STREET,TRIBECA,R9-CONDOMINIUM,11,1915,18315,585897,199267,386630,2988000,2012
1-00190-7501,39 NORTH MOORE STREET,TRIBECA,R4-CONDOMINIUM,10,1909,24407,723423,246023,477400,3603999,2012
1-00190-7503,31 NORTH MOORE STREET,TRIBECA,R4-CONDOMINIUM,23,1915,86900,2812953,956769,1856184,14014001,2012
1-00190-7504,27 NORTH MOORE STREET,TRIBECA,R4-CONDOMINIUM,57,1905,150010,5482866,1755117,3727749,28145005,2012
1-00190-7505,25 NORTH MOORE STREET,TRIBECA,R4-CONDOMINIUM,33,1924,119996,4333056,1214360,3118696,23546000,2012
1-00190-7506,124 HUDSON STREET,TRIBECA,R4-CONDOMINIUM,26,2000,68033,2456672,688494,1768178,13349997,2012
1-00193-7501,395 BROADWAY,TRIBECA,R4-CONDOMINIUM,64,1915,119640,3743536,1109063,2634473,19890006,2012
1-00193-7505,37 WALKER STREET,TRIBECA,R2-CONDOMINIUM,2,1875,4169,115023,38813,76210,543400,2012
1-00193-7509,51 WALKER STREET,TRIBECA,R4-CONDOMINIUM,15,2005,34587,1248937,356246,892691,6740003,2012
1-00202-7501,50 BAYARD STREET,CHINATOWN,R4-CONDOMINIUM,167,1985,163160,5449544,1711548,3737996,28222013,2012
1-00204-7501,158 HESTER STREET,CHINATOWN,R4-CONDOMINIUM,61,2004,60962,2200728,638272,1562456,11796998,2012
1-00206-7501,123 BAXTER STREET,CHINATOWN,R4-CONDOMINIUM,23,2003,46545,1680275,487326,1192949,9006997,2012
1-00208-7501,129 LAFAYETTE STREET,CHINATOWN,R4-CONDOMINIUM,27,1900,70649,2272778,650677,1622101,12247003,2012
1-00211-7501,7 LISPENARD STREET,TRIBECA,R4-CONDOMINIUM,9,1915,16028,414164,162203,251961,1901999,2012
1-00212-7501,260 WEST BROADWAY,TRIBECA,R4-CONDOMINIUM,50,1915,122640,3837406,1136873,2700533,20388992,2012
1-00212-7503,1 YORK STREET,TRIBECA,R4-CONDOMINIUM,34,1890,67451,2010040,488345,1521695,11488999,2012
1-00214-7502,145 HUDSON STREET,TRIBECA,R4-CONDOMINIUM,10,1929,46250,1487863,425963,1061900,8017002,2012
1-00214-7503,7 HUBERT STREET,TRIBECA,R4-CONDOMINIUM,35,2004,138798,4515099,1444887,3070212,23180001,2012
1-00215-7502,161 HUDSON STREET,TRIBECA,R4-CONDOMINIUM,24,1930,66444,1980031,481055,1498976,11316999,2012
1-00215-7504,415 GREENWICH STREET,TRIBECA,R4-CONDOMINIUM,66,1913,155221,5673328,1816086,3857242,29122003,2012
1-00215-7505,157 HUDSON STREET,TRIBECA,R4-CONDOMINIUM,15,1920,58213,1734747,421462,1313285,9915000,2012
1-00217-7501,79 LAIGHT STREET,TRIBECA,R4-CONDOMINIUM,33,1853,100894,2205543,904010,1301533,9566998,2012
1-00217-7502,408 GREENWICH STREET,TRIBECA,R4-CONDOMINIUM,4,2007,17185,737580,186973,550607,4157001,2012
1-00218-7501,92 LAIGHT STREET,TRIBECA,R4-CONDOMINIUM,65,2004,163128,6358729,1606811,4751918,35877000,2012
1-00218-7504,415 WASHINGTON STREET,TRIBECA,R4-CONDOMINIUM,21,2010,55649,2333363,691717,1641646,12870999,2012
1-00219-7501,429 GREENWICH STREET,TRIBECA,R4-CONDOMINIUM,28,1920,88897,2169087,556495,1612592,12079000,2012
1-00219-7502,39 VESTRY STREET,TRIBECA,R4-CONDOMINIUM,16,1930,37785,986944,253915,733029,5534003,2012
1-00219-7503,35 VESTRY STREET,TRIBECA,R4-CONDOMINIUM,6,1915,16400,592204,165968,426236,3218000,2012
1-00219-7504,169 HUDSON STREET,TRIBECA,R4-CONDOMINIUM,12,1915,51647,1260187,323310,936877,7017999,2012
1-00220-7502,28 LAIGHT STREET,TRIBECA,R4-CONDOMINIUM,31,1920,94924,3361259,1087829,2273430,17163997,2012
1-00220-7503,38 LAIGHT STREET,TRIBECA,R4-CONDOMINIUM,33,1900,73257,1787471,458589,1328882,9954001,2012
1-00222-7501,28 VESTRY STREET,TRIBECA,R4-CONDOMINIUM,20,1962,36435,1095236,245208,850028,6417997,2012
1-00222-7502,195 HUDSON STREET,TRIBECA,R4-CONDOMINIUM,27,1920,88496,2864616,974341,1890275,14272004,2012
1-00225-7501,465 GREENWICH STREET,TRIBECA,R9-CONDOMINIUM,38,1910,73919,1950722,741408,1209314,9159000,2012
1-00225-7502,16 DESBROSSES STREET,TRIBECA,R4-CONDOMINIUM,8,1940,24059,785526,188382,597144,4389003,2012
1-00228-7501,3 WOOSTER STREET,SOHO,R4-CONDOMINIUM,11,2003,25300,913330,264891,648439,4895999,2012
1-00228-7502,311 WEST BROADWAY,SOHO,R4-CONDOMINIUM,67,2007,146294,5942462,1424904,4517558,34108000,2012
1-00230-7503,20 GREENE STREET,SOHO,R4-CONDOMINIUM,10,1915,30331,975748,279349,696399,5257998,2012
1-00230-7506,25 MERCER STREET,SOHO,R4-CONDOMINIUM,10,1920,17632,564048,191836,372212,2602600,2012
1-00231-7501,443 BROADWAY,SOHO,R4-CONDOMINIUM,16,1910,44653,1436487,411254,1025233,6267812,2012
1-00234-7501,161 GRAND STREET,CHINATOWN,R4-CONDOMINIUM,18,1911,45148,1630294,456898,1173396,8859000,2012
1-00235-7501,136 BAXTER STREET,CHINATOWN,R4-CONDOMINIUM,12,1915,28370,1024441,287104,737337,5567001,2012
1-00236-7501,173 GRAND STREET,CHINATOWN,R4-CONDOMINIUM,39,1990,25786,829536,265338,564198,4260000,2012
1-00236-7502,145 MULBERRY STREET,CHINATOWN,RR-CONDOMINIUM,25,1915,26907,996904,230055,766849,5547000,2012
1-00238-7503,87 ELIZABETH STREET,CHINATOWN,R4-CONDOMINIUM,18,1899,14777,449516,157818,291698,2201998,2012
1-00239-7501,80 ELIZABETH STREET,CHINATOWN,R4-CONDOMINIUM,80,1929,85956,1878998,770166,1108832,8149995,2012
1-00273-7501,142 HENRY STREET,LOWER EAST SIDE,R4-CONDOMINIUM,13,1912,19597,496980,214195,282785,2129002,2012
1-00273-7502,30 RUTGERS STREET,LOWER EAST SIDE,R4-CONDOMINIUM,10,2005,7576,273494,79321,194173,1347500,2012
1-00274-7501,48 MARKET STREET,LOWER EAST SIDE,R4-CONDOMINIUM,26,1990,27046,859251,282631,576620,2971099,2012
1-00274-7502,148 MADISON STREET,LOWER EAST SIDE,R4-CONDOMINIUM,80,2002,43850,1582985,459110,1123875,8485010,2012
1-00274-7503,44 MARKET STREET,LOWER EAST SIDE,R4-CONDOMINIUM,16,2004,9744,351758,102020,249738,1885998,2012
1-00276-7501,102 MADISON STREET,LOWER EAST SIDE,R4-CONDOMINIUM,12,1991,5700,205770,59679,146091,1102997,2012
1-00276-7502,11 MONROE STREET,LOWER EAST SIDE,R4-CONDOMINIUM,10,2004,6656,240282,69688,170594,1287998,2012
1-00276-7503,31 MONROE STREET,LOWER EAST SIDE,R4-CONDOMINIUM,28,2010,26649,959364,293139,666225,4751950,2012
1-00277-7501,60 HENRY STREET,CHINATOWN,R4-CONDOMINIUM,74,1989,47161,1719490,528203,1191287,8324799,2012
1-00277-7502,46 HENRY STREET,CHINATOWN,R4-CONDOMINIUM,32,1991,25805,931819,261147,670672,4066698,2012
1-00277-7503,95 MADISON STREET,CHINATOWN,R2-CONDOMINIUM,20,1900,11358,203422,79620,123802,872000,2012
1-00283-7502,135 DIVISION STREET,LOWER EAST SIDE,R4-CONDOMINIUM,28,1988,19924,719256,208604,510652,2660902,2012
1-00284-7501,155 HENRY STREET,LOWER EAST SIDE,R4-CONDOMINIUM,24,1907,21645,585497,234199,351298,2618001,2012
1-00284-7502,165 HENRY STREET,LOWER EAST SIDE,R4-CONDOMINIUM,30,1928,21223,628413,213716,414697,3130999,2012
1-00284-7503,173 EAST BROADWAY,LOWER EAST SIDE,R4-CONDOMINIUM,29,1912,43723,1324807,474395,850412,5844307,2012
1-00292-7501,1 ELDRIDGE STREET,CHINATOWN,R4-CONDOMINIUM,8,1988,4227,155046,44975,110071,555501,2012
1-00293-7501,18 ELDRIDGE STREET,CHINATOWN,R4-CONDOMINIUM,10,2007,7169,262959,76278,186681,1386004,2012
1-00297-7501,26 LUDLOW STREET,LOWER EAST SIDE,R4-CONDOMINIUM,10,1900,6791,200606,76874,123732,933999,2012
1-00297-7502,48 HESTER STREET,LOWER EAST SIDE,R4-CONDOMINIUM,35,1990,23604,879485,254923,624562,4715001,2012
1-00297-7503,7 ESSEX STREET,LOWER EAST SIDE,R4-CONDOMINIUM,16,2002,31406,1170188,339185,831003,6273999,2012
1-00298-7501,51 CANAL STREET,LOWER EAST SIDE,R4-CONDOMINIUM,41,1941,25795,725871,250727,475144,3587002,2012
1-00298-7502,18 ORCHARD STREET,LOWER EAST SIDE,R4-CONDOMINIUM,4,1920,7535,212035,73240,138795,1048000,2012
1-00298-7503,21 LUDLOW STREET,LOWER EAST SIDE,R4-CONDOMINIUM,23,1910,17899,529989,180243,349746,2640999,2012
1-00303-7501,87 BOWERY,CHINATOWN,R4-CONDOMINIUM,8,1910,8188,273315,92934,180381,1026001,2012
1-00309-7501,48 ORCHARD STREET,LOWER EAST SIDE,R4-CONDOMINIUM,25,2003,39027,1408875,408613,1000262,7552001,2012
1-00309-7502,60 ORCHARD STREET,LOWER EAST SIDE,R4-CONDOMINIUM,7,1920,11916,372613,103908,268705,430789,2012
1-00310-7503,55 HESTER STREET,LOWER EAST SIDE,R4-CONDOMINIUM,27,1940,23344,957104,181616,775488,5855002,2012
1-00343-7501,78 RIDGE STREET,LOWER EAST SIDE,R4-CONDOMINIUM,53,1930,56354,2034379,590026,1444353,10905014,2012
1-00345-7501,154 ATTORNEY STREET,LOWER EAST SIDE,R4-CONDOMINIUM,41,2004,39643,1087407,413080,674327,5090996,2012
1-00345-7502,196 STANTON STREET,LOWER EAST SIDE,R4-CONDOMINIUM,6,1950,44741,1816037,523917,1292120,17869000,2012
1-00349-7501,130 SUFFOLK STREET,LOWER EAST SIDE,R2-CONDOMINIUM,48,1930,61673,2346041,703689,1642352,12399992,2012
1-00350-7501,20 CLINTON STREET,LOWER EAST SIDE,R4-CONDOMINIUM,38,1930,32476,851521,293258,558263,4215001,2012
1-00353-7501,103 NORFOLK STREET,LOWER EAST SIDE,R4-CONDOMINIUM,31,2005,47873,1728215,501230,1226985,9263997,2012
1-00353-7503,115 NORFOLK STREET,LOWER EAST SIDE,R4-CONDOMINIUM,24,2008,24635,889324,257928,631396,4766999,2012
1-00354-7501,133 NORFOLK STREET,LOWER EAST SIDE,R2-CONDOMINIUM,2,1900,3599,178222,51682,126540,469700,2012
1-00375-7501,71 AVENUE D,ALPHABET CITY,R4-CONDOMINIUM,25,2001,27798,762499,289655,472844,3570000,2012
1-00384-7503,310 EAST HOUSTON STREET,ALPHABET CITY,R4-CONDOMINIUM,23,2005,34734,952754,361928,590826,4461002,2012
1-00384-7505,229 EAST 2 STREET,ALPHABET CITY,R4-CONDOMINIUM,5,2008,7405,256213,81973,174240,1501999,2012
1-00386-7501,211 EAST 3 STREET,ALPHABET CITY,R2-CONDOMINIUM,13,1920,18990,494310,168062,326248,2462999,2012
1-00389-7501,97 AVENUE B,ALPHABET CITY,R9-CONDOMINIUM,30,1901,20940,836344,269707,566637,3486000,2012
1-00390-7501,217 EAST 7 STREET,ALPHABET CITY,R4-CONDOMINIUM,16,2000,15704,497974,159396,338578,2556003,2012
1-00390-7502,338 EAST 8 STREET,ALPHABET CITY,R9-CONDOMINIUM,78,2001,65832,2639205,805784,1833421,14362000,2012
1-00392-7501,143 AVENUE B,ALPHABET CITY,R4-CONDOMINIUM,83,1928,78982,2556647,869592,1687055,12737000,2012
